Vlidation at HEFT: mean_flowtime_deterministic: 521.875939+/-75.079270	 time_elapsed: 0.087514
Episode-28: ep_meanFlowTime: 509.730735	 all_loss: 2.025873	 p_loss: -1.769003	 e_loss: 1.241963	 v_loss: 4.051746	 v_mre: 131.305443	 grad_changes: 0.000000	 time_elapsed: 0.8739
Episode-29: ep_meanFlowTime: 489.713177	 all_loss: 1.684698	 p_loss: -1.700591	 e_loss: 1.291637	 v_loss: 3.369395	 v_mre: 106.690612	 grad_changes: 0.000000	 time_elapsed: 0.8944
Episode-30: ep_meanFlowTime: 610.888680	 all_loss: 2.538779	 p_loss: -2.132752	 e_loss: 1.263592	 v_loss: 5.077558	 v_mre: 105.076357	 grad_changes: 0.000000	 time_elapsed: 0.9151
Episode-31: ep_meanFlowTime: 385.904241	 all_loss: 1.067309	 p_loss: -1.301297	 e_loss: 1.212119	 v_loss: 2.134619	 v_mre: 110.777157	 grad_changes: 0.000000	 time_elapsed: 0.9354
Episode-32: ep_meanFlowTime: 302.785218	 all_loss: 0.635266	 p_loss: -1.049352	 e_loss: 1.286457	 v_loss: 1.270532	 v_mre: 112.514077	 grad_changes: 0.000000	 time_elapsed: 0.9541
Episode-33: ep_meanFlowTime: 344.914243	 all_loss: 0.907903	 p_loss: -1.236592	 e_loss: 1.293813	 v_loss: 1.815807	 v_mre: 109.538799	 grad_changes: 0.000000	 time_elapsed: 0.9735
Episode-34: ep_meanFlowTime: 380.199932	 all_loss: 1.273688	 p_loss: -1.363206	 e_loss: 1.209155	 v_loss: 2.547376	 v_mre: 131.401045	 grad_changes: 0.000000	 time_elapsed: 0.9944
Episode-35: ep_meanFlowTime: 378.585440	 all_loss: 1.098399	 p_loss: -1.343169	 e_loss: 1.269395	 v_loss: 2.196798	 v_mre: 140.594601	 grad_changes: 0.000000	 time_elapsed: 1.0144
Episode-36: ep_meanFlowTime: 398.878894	 all_loss: 1.151458	 p_loss: -1.392668	 e_loss: 1.203131	 v_loss: 2.302915	 v_mre: 116.550793	 grad_changes: 0.000000	 time_elapsed: 1.0343
Episode-37: ep_meanFlowTime: 339.001406	 all_loss: 0.967764	 p_loss: -1.258379	 e_loss: 1.276883	 v_loss: 1.935528	 v_mre: 110.119785	 grad_changes: 0.000000	 time_elapsed: 1.0538
Episode-38: ep_meanFlowTime: 485.915567	 all_loss: 2.115640	 p_loss: -1.752679	 e_loss: 1.282641	 v_loss: 4.231279	 v_mre: 109.929232	 grad_changes: 0.000000	 time_elapsed: 1.0749
Episode-39: ep_meanFlowTime: 507.861593	 all_loss: 1.556780	 p_loss: -1.608502	 e_loss: 1.204796	 v_loss: 3.113559	 v_mre: 126.174795	 grad_changes: 0.000000	 time_elapsed: 1.0960
Episode-40: ep_meanFlowTime: 614.551195	 all_loss: 2.342531	 p_loss: -2.003508	 e_loss: 1.292293	 v_loss: 4.685062	 v_mre: 131.027964	 grad_changes: 0.000000	 time_elapsed: 1.1168
Vlidation at update-40: mean_flowtime_deterministic: 421.007858+/-68.341115	 mean_Entropy: 1.293122+/-0.046688	 record: 421.007858	 time_elapsed: 1.2328
Episode-41: ep_meanFlowTime: 364.672905	 all_loss: 0.930292	 p_loss: -1.287630	 e_loss: 1.202437	 v_loss: 1.860584	 v_mre: 108.712351	 grad_changes: 0.000000	 time_elapsed: 1.2528
Episode-42: ep_meanFlowTime: 351.750477	 all_loss: 0.881279	 p_loss: -1.161790	 e_loss: 1.261482	 v_loss: 1.762558	 v_mre: 115.871458	 grad_changes: 0.000000	 time_elapsed: 1.2738
Episode-43: ep_meanFlowTime: 353.998816	 all_loss: 1.007099	 p_loss: -1.283481	 e_loss: 1.282887	 v_loss: 2.014197	 v_mre: 115.124952	 grad_changes: 0.000000	 time_elapsed: 1.2939
Episode-44: ep_meanFlowTime: 462.379798	 all_loss: 1.575753	 p_loss: -1.626841	 e_loss: 1.304175	 v_loss: 3.151507	 v_mre: 108.402666	 grad_changes: 0.000000	 time_elapsed: 1.3147
Episode-45: ep_meanFlowTime: 476.448056	 all_loss: 1.471224	 p_loss: -1.617985	 e_loss: 1.220927	 v_loss: 2.942448	 v_mre: 107.008809	 grad_changes: 0.000000	 time_elapsed: 1.3350
Episode-46: ep_meanFlowTime: 578.322247	 all_loss: 2.733722	 p_loss: -1.944565	 e_loss: 1.244582	 v_loss: 5.467444	 v_mre: 124.059923	 grad_changes: 0.000000	 time_elapsed: 1.3585
Episode-47: ep_meanFlowTime: 520.000193	 all_loss: 1.796896	 p_loss: -1.799929	 e_loss: 1.275324	 v_loss: 3.593791	 v_mre: 105.994154	 grad_changes: 0.000000	 time_elapsed: 1.3798
Episode-48: ep_meanFlowTime: 293.310686	 all_loss: 0.664006	 p_loss: -1.071199	 e_loss: 1.279896	 v_loss: 1.328013	 v_mre: 130.523862	 grad_changes: 0.000000	 time_elapsed: 1.4001
Episode-49: ep_meanFlowTime: 394.831471	 all_loss: 1.143024	 p_loss: -1.310132	 e_loss: 1.272988	 v_loss: 2.286047	 v_mre: 128.765170	 grad_changes: 0.000000	 time_elapsed: 1.4203
Episode-50: ep_meanFlowTime: 314.251836	 all_loss: 0.769059	 p_loss: -1.104567	 e_loss: 1.259637	 v_loss: 1.538119	 v_mre: 112.743210	 grad_changes: 0.000000	 time_elapsed: 1.4409
Episode-51: ep_meanFlowTime: 667.297198	 all_loss: 3.030191	 p_loss: -2.239728	 e_loss: 1.194557	 v_loss: 6.060381	 v_mre: 105.029101	 grad_changes: 0.000000	 time_elapsed: 1.4660
Episode-52: ep_meanFlowTime: 347.404798	 all_loss: 0.790311	 p_loss: -1.183795	 e_loss: 1.162191	 v_loss: 1.580621	 v_mre: 109.698234	 grad_changes: 0.000000	 time_elapsed: 1.4867
Episode-53: ep_meanFlowTime: 305.188426	 all_loss: 0.704959	 p_loss: -1.087666	 e_loss: 1.231729	 v_loss: 1.409917	 v_mre: 111.923844	 grad_changes: 0.000000	 time_elapsed: 1.5066
Episode-54: ep_meanFlowTime: 363.992144	 all_loss: 0.942972	 p_loss: -1.258191	 e_loss: 1.255003	 v_loss: 1.885945	 v_mre: 109.715552	 grad_changes: 0.000000	 time_elapsed: 1.5275
Episode-55: ep_meanFlowTime: 521.529091	 all_loss: 1.836710	 p_loss: -1.800072	 e_loss: 1.223972	 v_loss: 3.673420	 v_mre: 106.276598	 grad_changes: 0.000000	 time_elapsed: 1.5482
Episode-56: ep_meanFlowTime: 502.970976	 all_loss: 1.747220	 p_loss: -1.746081	 e_loss: 1.277737	 v_loss: 3.494440	 v_mre: 112.657606	 grad_changes: 0.000000	 time_elapsed: 1.5696
Episode-57: ep_meanFlowTime: 509.671594	 all_loss: 2.225048	 p_loss: -1.748480	 e_loss: 1.201699	 v_loss: 4.450096	 v_mre: 138.367495	 grad_changes: 0.000000	 time_elapsed: 1.5918
Episode-58: ep_meanFlowTime: 230.075474	 all_loss: 0.432001	 p_loss: -0.824069	 e_loss: 1.260332	 v_loss: 0.864002	 v_mre: 125.596356	 grad_changes: 0.000000	 time_elapsed: 1.6109
Episode-59: ep_meanFlowTime: 537.307801	 all_loss: 1.964944	 p_loss: -1.804181	 e_loss: 1.223040	 v_loss: 3.929888	 v_mre: 106.603944	 grad_changes: 0.000000	 time_elapsed: 1.6329
Episode-60: ep_meanFlowTime: 351.210134	 all_loss: 0.874849	 p_loss: -1.236809	 e_loss: 1.179020	 v_loss: 1.749698	 v_mre: 109.555987	 grad_changes: 0.000000	 time_elapsed: 1.6532
Vlidation at update-60: mean_flowtime_deterministic: 421.007858+/-68.341115	 mean_Entropy: 1.293122+/-0.046699	 record: 421.007858	 time_elapsed: 1.7665
Episode-61: ep_meanFlowTime: 439.482677	 all_loss: 1.274773	 p_loss: -1.468988	 e_loss: 1.166873	 v_loss: 2.549545	 v_mre: 109.068833	 grad_changes: 0.000000	 time_elapsed: 1.7867
Episode-62: ep_meanFlowTime: 474.901146	 all_loss: 1.657627	 p_loss: -1.636934	 e_loss: 1.262194	 v_loss: 3.315254	 v_mre: 144.040145	 grad_changes: 0.000000	 time_elapsed: 1.8059
Episode-63: ep_meanFlowTime: 404.432950	 all_loss: 1.174081	 p_loss: -1.441024	 e_loss: 1.223108	 v_loss: 2.348163	 v_mre: 107.679652	 grad_changes: 0.000000	 time_elapsed: 1.8259
