==================================================
Watchdog start: Mon May 18 09:51:42 PM CST 2026
Run dir: /home/xue/GOODRL/runs/20260518_gatv2_heft_baseline_6_4_9
Args: --vm_types 6 --each_vm_type_num 4 --arr_rate 9 --lr_a 0.0001 --lr_c 0.001 --warmup_critic 500 --max_updates 1000 --grad_control 0 --algo_seed 3 --entloss_coef 0.01 --actor_pointer 0 --actor_atten_layers 0 --checkpoint_interval 20
==================================================
[Mon May 18 09:51:42 PM CST 2026] === Attempt 1: starting fresh ===
Vlidation at HEFT: mean_flowtime_deterministic: 363.598782+/-54.009649	 time_elapsed: 0.006627
Episode-24: ep_meanFlowTime: 725.264627	 all_loss: 0.755552	 p_loss: -0.485903	 e_loss: 0.813069	 v_loss: 1.511105	 v_mre: 44.856433	 grad_changes: 0.000000	 time_elapsed: 0.2662
Episode-25: ep_meanFlowTime: 401.711343	 all_loss: 0.165092	 p_loss: 0.007730	 e_loss: 1.039647	 v_loss: 0.330183	 v_mre: 41.837635	 grad_changes: 0.000000	 time_elapsed: 0.2755
Episode-26: ep_meanFlowTime: 491.742623	 all_loss: 0.238557	 p_loss: 0.204178	 e_loss: 0.955435	 v_loss: 0.477114	 v_mre: 297.464911	 grad_changes: 0.000000	 time_elapsed: 0.2864
Episode-27: ep_meanFlowTime: 399.701227	 all_loss: 0.105515	 p_loss: -0.131748	 e_loss: 1.022688	 v_loss: 0.211030	 v_mre: 34.982295	 grad_changes: 0.000000	 time_elapsed: 0.2961
Episode-28: ep_meanFlowTime: 496.731636	 all_loss: 0.180409	 p_loss: -0.252484	 e_loss: 0.943253	 v_loss: 0.360818	 v_mre: 125.644311	 grad_changes: 0.000000	 time_elapsed: 0.3053
Episode-29: ep_meanFlowTime: 427.656772	 all_loss: 0.078214	 p_loss: 0.184380	 e_loss: 0.937673	 v_loss: 0.156428	 v_mre: 24.719055	 grad_changes: 0.000000	 time_elapsed: 0.3148
Episode-30: ep_meanFlowTime: 523.797739	 all_loss: 0.193192	 p_loss: -0.323373	 e_loss: 0.935364	 v_loss: 0.386384	 v_mre: 30.044658	 grad_changes: 0.000000	 time_elapsed: 0.3243
Episode-31: ep_meanFlowTime: 371.777601	 all_loss: 0.105271	 p_loss: 0.137576	 e_loss: 0.954669	 v_loss: 0.210543	 v_mre: 34.055923	 grad_changes: 0.000000	 time_elapsed: 0.3334
Episode-32: ep_meanFlowTime: 295.729204	 all_loss: 0.074534	 p_loss: 0.409821	 e_loss: 0.917901	 v_loss: 0.149069	 v_mre: 48.137008	 grad_changes: 0.000000	 time_elapsed: 0.3421
Episode-33: ep_meanFlowTime: 266.806098	 all_loss: 0.045517	 p_loss: -0.135640	 e_loss: 1.018487	 v_loss: 0.091034	 v_mre: 29.455474	 grad_changes: 0.000000	 time_elapsed: 0.3504
Episode-34: ep_meanFlowTime: 315.018115	 all_loss: 0.058543	 p_loss: -0.096068	 e_loss: 0.972987	 v_loss: 0.117086	 v_mre: 139.473407	 grad_changes: 0.000000	 time_elapsed: 0.3588
Episode-35: ep_meanFlowTime: 466.532180	 all_loss: 0.254048	 p_loss: -0.288542	 e_loss: 0.986535	 v_loss: 0.508095	 v_mre: 166.429002	 grad_changes: 0.000000	 time_elapsed: 0.3692
Episode-36: ep_meanFlowTime: 391.551346	 all_loss: 0.104573	 p_loss: 0.021520	 e_loss: 0.921157	 v_loss: 0.209146	 v_mre: 110.494100	 grad_changes: 0.000000	 time_elapsed: 0.3777
Episode-37: ep_meanFlowTime: 345.698132	 all_loss: 0.181071	 p_loss: 0.100404	 e_loss: 0.987567	 v_loss: 0.362143	 v_mre: 37.253469	 grad_changes: 0.000000	 time_elapsed: 0.3874
Episode-38: ep_meanFlowTime: 450.902942	 all_loss: 0.238291	 p_loss: -0.050055	 e_loss: 0.867623	 v_loss: 0.476581	 v_mre: 51.368118	 grad_changes: 0.000000	 time_elapsed: 0.3968
Episode-39: ep_meanFlowTime: 1179.270831	 all_loss: 2.383238	 p_loss: -1.860293	 e_loss: 0.726463	 v_loss: 4.766475	 v_mre: 215.950398	 grad_changes: 0.000000	 time_elapsed: 0.4111
Episode-40: ep_meanFlowTime: 501.699178	 all_loss: 0.153772	 p_loss: -0.279196	 e_loss: 0.903657	 v_loss: 0.307543	 v_mre: 28.445633	 grad_changes: 0.000000	 time_elapsed: 0.4201
Vlidation at update-40: mean_flowtime_deterministic: 475.278123+/-125.852208	 mean_Entropy: 0.943652+/-0.100194	 record: 310.766864	 time_elapsed: 0.4310
[ckpt] saved /home/xue/GOODRL/runs/20260518_gatv2_heft_baseline_6_4_9/checkpoints/state_latest.pth at i_update=39
[ckpt] saved /home/xue/GOODRL/runs/20260518_gatv2_heft_baseline_6_4_9/checkpoints/state_40.pth at i_update=39
Episode-41: ep_meanFlowTime: 358.853976	 all_loss: 0.070236	 p_loss: 0.377935	 e_loss: 1.024412	 v_loss: 0.140473	 v_mre: 27.139687	 grad_changes: 0.000000	 time_elapsed: 0.4401
Episode-42: ep_meanFlowTime: 605.966900	 all_loss: 0.444627	 p_loss: -0.289771	 e_loss: 0.755564	 v_loss: 0.889253	 v_mre: 57.867163	 grad_changes: 0.000000	 time_elapsed: 0.4507
Episode-43: ep_meanFlowTime: 292.666546	 all_loss: 0.105794	 p_loss: 0.026610	 e_loss: 0.968596	 v_loss: 0.211587	 v_mre: 117.805719	 grad_changes: 0.000000	 time_elapsed: 0.4580
Episode-44: ep_meanFlowTime: 371.753102	 all_loss: 0.076562	 p_loss: -0.168106	 e_loss: 0.891000	 v_loss: 0.153123	 v_mre: 124.092448	 grad_changes: 0.000000	 time_elapsed: 0.4662
Episode-45: ep_meanFlowTime: 482.245843	 all_loss: 0.121000	 p_loss: -0.208061	 e_loss: 0.966072	 v_loss: 0.241999	 v_mre: 31.354656	 grad_changes: 0.000000	 time_elapsed: 0.4759
Episode-46: ep_meanFlowTime: 1124.278649	 all_loss: 3.446172	 p_loss: -1.952030	 e_loss: 0.868610	 v_loss: 6.892344	 v_mre: 191.791102	 grad_changes: 0.000000	 time_elapsed: 0.4944
Episode-47: ep_meanFlowTime: 521.915975	 all_loss: 0.238779	 p_loss: -0.082002	 e_loss: 0.988133	 v_loss: 0.477558	 v_mre: 29.396476	 grad_changes: 0.000000	 time_elapsed: 0.5036
Episode-48: ep_meanFlowTime: 278.385668	 all_loss: 0.083062	 p_loss: 0.319457	 e_loss: 1.044564	 v_loss: 0.166124	 v_mre: 171.520732	 grad_changes: 0.000000	 time_elapsed: 0.5112
