episode,ep_meanFlowTime,all_loss,p_loss,e_loss,v_loss,v_mre,grad_changes,time_elapsed_h
77,358.403774,0.034291,0.151777,1.208208,0.068582,22.798967,0.0,2.0795
78,474.263467,0.070305,-0.107638,1.22651,0.140611,41.478419,0.0,2.1004
79,546.915307,0.068275,-0.084699,1.223157,0.13655,17.226939,0.0,2.1221
80,441.091507,0.043206,-0.048722,1.192271,0.086411,21.31954,0.0,2.1423
81,257.239124,0.045291,0.420375,1.300989,0.090582,86.014752,0.0,2.2735
82,446.78278,0.060513,-0.525056,1.323923,0.121026,22.777874,0.0,2.2925
83,529.880921,0.131192,-0.140846,1.230764,0.262385,233.384236,0.0,2.3127
84,329.581661,0.08507,0.545603,1.251141,0.17014,70.760105,0.0,2.3324
85,496.905205,0.049385,-0.084738,1.315162,0.098769,17.415699,0.0,2.3527
86,577.587699,0.071404,-0.153983,1.210241,0.142809,16.971011,0.0,2.3738
87,482.605707,0.059638,-0.029915,1.280909,0.119276,18.555224,0.0,2.3932
88,518.290704,0.077344,0.411695,1.263188,0.154687,50.942013,0.0,2.4143
89,617.610856,0.140577,-0.402739,1.273558,0.281154,23.107599,0.0,2.4353
90,481.074134,0.069476,0.339746,1.242621,0.138952,18.091653,0.0,2.4563
91,392.102013,0.112024,0.148289,1.280884,0.224048,71.512517,0.0,2.4764
92,358.743333,0.035163,0.187906,1.244332,0.070326,48.394876,0.0,2.4967
93,447.216322,0.060165,-0.279852,1.173443,0.12033,18.424291,0.0,2.5185
94,409.783191,0.061716,0.176871,1.261177,0.123433,24.027607,0.0,2.5394
95,376.828699,0.050193,-0.105883,1.255004,0.100385,28.360845,0.0,2.559
96,345.13388,0.020519,0.124292,1.169632,0.041038,14.573943,0.0,2.5796
97,671.138916,0.18464,-0.913143,1.219053,0.369279,22.589068,0.0,2.6016
98,377.903848,0.079145,0.813673,1.245934,0.158289,32.40673,0.0,2.6218
99,292.192444,0.053195,-0.112188,1.24761,0.10639,33.254015,0.0,2.6405
100,259.731258,0.047291,0.084362,1.258117,0.094582,140.402129,0.0,2.6599
101,388.431814,0.069427,-0.225587,1.240341,0.138854,27.667427,0.0,2.7927
102,421.797046,0.065998,-0.147104,1.177033,0.131996,22.5191,0.0,2.8138
103,261.853116,0.028922,0.138629,1.241786,0.057843,172.64506,0.0,2.8326
104,420.934588,0.056642,-0.382769,1.216687,0.113283,20.64116,0.0,2.8529
105,483.749705,0.106968,-0.014202,1.221283,0.213936,25.597243,0.0,2.8731
106,379.975326,0.075486,0.0862,1.248175,0.150972,25.045664,0.0,2.8939
107,517.288033,0.117251,0.0745,1.277768,0.234503,176.744519,0.0,2.915
108,448.191484,0.079394,-0.065063,1.19791,0.158787,170.252089,0.0,2.9362
109,316.545498,0.075306,0.049868,1.303175,0.150611,34.208348,0.0,2.9548
110,449.515017,0.062908,-0.188971,1.210728,0.125817,25.141371,0.0,2.9751
111,503.093811,0.170464,0.291663,1.20109,0.340929,30.277838,0.0,2.9989
112,344.723421,0.055756,0.091717,1.237135,0.111513,180.232052,0.0,3.0174
113,319.659177,0.096348,-0.047679,1.287154,0.192696,91.127512,0.0,3.0365
114,458.648448,0.118543,-0.302964,1.307976,0.237086,35.209305,0.0,3.0568
115,615.106484,0.155088,-0.225873,1.229681,0.310176,25.095818,0.0,3.0799
116,330.75751,0.051677,0.409712,1.23607,0.103354,38.622555,0.0,3.1002
117,441.132268,0.03643,-0.273744,1.177044,0.07286,17.924284,0.0,3.1215
118,431.654799,0.087241,-0.045495,1.30768,0.174483,23.444215,0.0,3.1413
119,381.914407,0.055555,-0.032274,1.220473,0.111109,27.292662,0.0,3.1623
120,346.351926,0.057156,0.10102,1.283538,0.114312,53.569156,0.0,3.1813
121,450.908571,0.051039,0.051342,1.310033,0.102078,140.166496,0.0,3.314
122,326.798993,0.058615,0.416542,1.289671,0.117231,48.002531,0.0,3.334
123,465.723279,0.105326,-0.128529,1.265761,0.210652,25.117924,0.0,3.3555
